日期,标题,中文标题,标签,原文链接,双语链接
2023/12/12,walk and talk,边走边聊,Articles,https://sive.rs/wt,
2023/7/20,The past is not true,过去不是真实的,Useful Not True,https://sive.rs/pnt,
2023/6/30,"dashing dog, searching for purpose",奔跑的狗，没有目的,Articles,https://sive.rs/pdog,https://readit.site/a/uDDkD
2023/5/18,$575K of books sold. $575K to save lives.,捐出售书 57.5 万美元，挽救生命。,Articles,https://sive.rs/575k,
2023/4/21,The joy and freedom of harmlessly upsetting social norms,不守规矩带来的快乐和自由,Articles,https://sive.rs/nor,
2023/4/20,Why I let go of my U.S. citizenship,为什么我放弃了美国国籍,Articles,https://sive.rs/xus,
2023/4/15,the Michael Browne suits,迈克尔·布朗的西装,Articles,https://sive.rs/suits,
2023/3/9,Curve into the target,曲线瞄准,Useful Not True,https://sive.rs/aim,
2023/3/7,Thinking something nice about someone? Tell them.,想起某人的好？告诉他。,Articles,https://sive.rs/nice,
2023/3/2,50 conversations in Bangalore and Chennai,在班加罗尔和金奈进行的 50 次对话,Articles,https://sive.rs/meet-chbg,
2023/2/9,Explorers are bad leaders,探险家是糟糕的领导者,Articles,https://sive.rs/exled,
2023/2/6,Travelling just for the people,为了人而旅行,Articles,https://sive.rs/travp,https://readit.site/a/YaOXW
2023/2/2,Want anonymity? Make a persona not a mystery.,想匿名？塑造一个公共形象。,Articles,https://sive.rs/anon,https://readit.site/a/aktrV
2023/1/31,I want to lose every debate.,我想在每场辩论中都失败。,Articles,https://sive.rs/led,
2023/1/29,Conversations with Tyler Cowen,与泰勒·考温的对话,Articles,https://sive.rs/tyler,
2023/1/27,Reading the Bible start to finish,通读圣经,Articles,https://sive.rs/bible,
2022/10/30,Make believe,知道是假的,Useful Not True,https://sive.rs/mb,
2022/10/28,"Daily run, part two",每日跑步，第二部分,Useful Not True,https://sive.rs/run2,
2022/10/8,Static HTML comments,静态 HTML 注释,Tech blog,https://sive.rs/shc,
2022/9/28,"Daily run, part one",每日跑步，第一部分,Useful Not True,https://sive.rs/run,
2022/9/20,Your explanations are not true,你的解释不是真的,Useful Not True,https://sive.rs/confab,
2022/9/12,"Shortest date, and ketchup",最短的约会和番茄酱,Articles,https://sive.rs/ketchup,https://readit.site/a/iReJe
2022/9/8,full-length videobook for “Your Music and People”,《Your Music and People》视频书,Articles,https://sive.rs/ymap,
2022/8/25,Anything You Want — third edition for 2022,Anything You Want——2022 年第三版,Articles,https://sive.rs/a3,
2022/7/26,"Scuba, panic, empathy",潜水，恐慌，共情,Articles,https://sive.rs/dive,https://readit.site/a/fmbj0
2022/6/20,Writing one sentence per line,每行写一句话,Articles,https://sive.rs/1s,
2022/6/19,The joke that changed my life,改变我生活的笑话,Articles,https://sive.rs/joke,
2022/6/8,Find a good available .com domain,查找可用的 .com 域名,Tech blog,https://sive.rs/com,
2022/5/9,Travel is best with young children,带小孩旅行最好,Articles,https://sive.rs/tk,
2022/5/8,Short URLs: why and how,使用短链接的原因和方法,Tech blog,https://sive.rs/su,
2022/3/24,"Ancestors, Luck, and Descendants",祖先、运气和后代,Articles,https://sive.rs/ald,
2022/3/9,Why I left America,我为什么离开美国,Articles,https://sive.rs/left,
2022/3/2,Write plain text files,纯文本写作,Tech blog,https://sive.rs/plaintext,
2022/3/1,Generate unique random values directly in the database,在数据库中生成唯一的随机值,Tech blog,https://sive.rs/rand1,
2022/3/1,Database triggers to clean text inputs,清除文本输入的数据库触发器,Tech blog,https://sive.rs/clean1,
2022/2/28,Database functions to wrap logic and SQL queries,用于封装逻辑和 SQL 查询的数据库函数,Tech blog,https://sive.rs/api01,
2022/2/27,"Database trigger recalculates totals, for data integrity",据库触发器重新计算总数，以保证数据完整性,Tech blog,https://sive.rs/recalc,
2022/1/26,About my book notes,关于我的读书笔记,Articles,https://sive.rs/bfaq,
2021/10/27,Considerate book pricing,合理的图书定价,Articles,https://sive.rs/bp,
2021/8/13,How many pets do you have?,你有多少宠物？,Articles,https://sive.rs/pets,
2020/8/6,$250K books sold. $250K to save lives.,捐出售书 25 万美元，挽救生命。,Articles,https://sive.rs/250k,
2020/6/22,How to learn JavaScript,如何学习 JavaScript,Tech blog,https://sive.rs/learn-js,
2019/12/30,Time is personal. Your year changes when your life changes.,时间是你的。跟着你的节奏走。,Articles,https://sive.rs/mny,
2019/11/7,Experiments in music and life,音乐和 3 种生活实验,Articles,https://sive.rs/eml,https://readit.site/a/POha5
2019/11/1,"Writing daily, but posting when ready",每天写作，但准备好了再发,Articles,https://sive.rs/nod,
2019/10/30,How I got rich on the other hand,另一方面，我是怎么发财的,Articles,https://sive.rs/richand,
2019/10/29,Podcast published today,播客上线,Tech blog,https://sive.rs/pinit2,
2019/10/28,"When in doubt, try the difference",不确定的时候，试试不同的,Articles,https://sive.rs/trd,
2019/10/27,Why experts are annoying,为什么专家让人讨厌,Articles,https://sive.rs/exan,
2019/10/26,What you learn by travelling,你从旅行中学到了什么,Articles,https://sive.rs/trav1,
2019/10/25,PostgreSQL example of self-contained stored procedures,PostgreSQL 自包含存储过程示例,Tech blog,https://sive.rs/pg2,
2019/10/24,Mastery school,专精学校设想,Articles,https://sive.rs/masch,https://readit.site/a/WFTfY
2019/10/23,Monthly self-expansion project,每月学个新主题,Articles,https://sive.rs/exex,
2019/10/22,Living according to your hierarchy of values,按照你的价值观生活,Articles,https://sive.rs/vls1,
2019/10/17,How to ask your mentors for help,如何向导师寻求帮助,Articles,https://sive.rs/ment,
2019/10/16,"When you win the game, you stop playing",赢了，就停下,Articles,https://sive.rs/wtg,
2019/10/15,Digital pollution,数字垃圾,Tech blog,https://sive.rs/polut,
2019/10/14,Cut out everything that’s not surprising,删掉所有不足为奇的东西,Articles,https://sive.rs/d22,
2019/10/13,Heed your fears,留意你的恐惧,Articles,https://sive.rs/gofear,
2019/10/12,Daydreaming is my favorite pastime,白日梦是我最喜欢的消遣方式,Articles,https://sive.rs/daydream,
2019/10/11,Anti-chameleon,逆反心理,Articles,https://sive.rs/antic,
2019/10/10,Where we do and don’t want automation,我们需要和不希望自动化的地方,Articles,https://sive.rs/autom,
2019/10/9,Human nature to focus on the one bad thing,人倾向关注坏事情,Articles,https://sive.rs/negz,
2019/10/8,Back and forth between super-hot and super-cold,冷热交替,Articles,https://sive.rs/sauna,
2019/10/7,"Err on the side of action, to test theories",实践出真知,Articles,https://sive.rs/erra,
2019/10/6,Blowing off work to play,翘班去玩,Articles,https://sive.rs/hooky,
2019/10/5,What happens when we ignore plans?,如果我们无视计划会怎样？,Articles,https://sive.rs/ldn,
2019/10/4,Tour -isms,各种「主义」,Articles,https://sive.rs/isms,
2019/10/3,Meta-considerate,真正的体贴,Articles,https://sive.rs/metac,
2019/10/2,"Daydreaming the downside, for once",为幻想买单,Articles,https://sive.rs/ddown,
2019/10/1,Where to find the hours to make it happen,与其空想，不如实践,Articles,https://sive.rs/uncomf,
2019/9/30,Your heroes show which way you’re facing,让榜样为你指引方向,Articles,https://sive.rs/hf,
2019/9/29,Don’t quote. Make it yours and say it yourself.,不要引用，变成你的话说出来。,Articles,https://sive.rs/dq,https://readit.site/a/r5VxD
2019/9/28,Have a private email account,拥有一个私人邮件地址,Articles,https://sive.rs/pe,
2019/9/27,Future posthumous autobiography,未来遗作,Articles,https://sive.rs/abio,https://readit.site/a/1z3sO
2019/9/27,Cross the world four times,四次穿越世界,Articles,https://sive.rs/4,https://readit.site/a/iFlZo
2019/9/26,What I did belies why,透过现象看本质,Articles,https://sive.rs/ww,
2019/9/25,Would you make your art if you were the last person on earth?,假如你是地球上最后一个人，你还会继续创作吗？,Articles,https://sive.rs/tp3,
2019/9/24,Travel without social praise,不为称赞旅行,Articles,https://sive.rs/tp2,
2019/9/23,Travel without a phone,不带手机旅行,Articles,https://sive.rs/tp1,
2019/9/22,initialize,开播客啦,Articles,https://sive.rs/pinit,
2019/7/31,My old clothes don’t fit,不合身的旧衣服,Articles,https://sive.rs/clothes,
2019/7/1,Doors and windows and what’s real,门窗和什么是真实,Articles,https://sive.rs/dw,https://readit.site/a/7f1Gl
2019/3/8,I’ve moved from New Zealand to Oxford England,我从新西兰搬到了英国牛津,Articles,https://sive.rs/ox1,
2019/1/28,Benefits of a daily diary and topic journals,写日记的好处,Articles,https://sive.rs/dj,
2018/12/5,Subtract,专注做减法,Hell Yeah or No,https://sive.rs/subtract,
2018/11/18,The art of selfishness,自私的艺术,Articles,https://sive.rs/aos,
2018/8/6,"You don’t need confidence, just contribution.",不需要自信，只要贡献。,Hell Yeah or No,https://sive.rs/contrib,
2018/6/7,Unlearning,空杯,Hell Yeah or No,https://sive.rs/unlearning,
2018/6/3,If you’re not feeling “hell yeah!” then say no,如果你不觉得 「哇哦！」，那就说不,Hell Yeah or No,https://sive.rs/hyn,
2018/6/1,About this book,关于《Hell Yeah or No》,Hell Yeah or No,https://sive.rs/hy1,
2018/4/20,OpenBSD : why and how,为什么是 OpenBSD,Tech blog,https://sive.rs/openbsd,
2018/3/31,Moving for good,不断移动,Hell Yeah or No,https://sive.rs/mfg,
2018/3/21,Why I’m not on Facebook,我为什么不用 Facebook,Articles,https://sive.rs/facebook,
2018/3/18,Detailed dreams blind you to new means.,盯着细节会让你忽略目的。,Your Music and People,https://sive.rs/details,
2018/3/7,Include everyone in your success.,让每个人都能参与你的成功。,Your Music and People,https://sive.rs/inclev,
2018/3/6,My writing process,我的写作流程,Articles,https://sive.rs/7,
2018/3/5,Keep in touch.,保持联系。,Your Music and People,https://sive.rs/kit,
2018/2/28,Be an extreme character.,成为反派角色。,Your Music and People,https://sive.rs/evers,
2018/2/25,Get specific!,说具体点！,Your Music and People,https://sive.rs/get-specific,
2018/2/23,What it means to be resourceful,两种不同的思维方式,Your Music and People,https://sive.rs/res,
2018/2/18,Rock stars have a boss?,摇滚明星也有老板？,Your Music and People,https://sive.rs/noboss,
2018/2/17,Never wait.,不要等待。,Your Music and People,https://sive.rs/neverwait,
2018/2/16,"The higher the price, the more they value it.",价格越高，他们越重视。,Your Music and People,https://sive.rs/morepay,
2018/2/15,Creative communication,俏皮话,Your Music and People,https://sive.rs/reach,
2018/2/15,Considerate communication,沟通的细节,Your Music and People,https://sive.rs/ccom,
2018/2/14,Get personal.,交朋友，而不是仅是做生意。,Your Music and People,https://sive.rs/gpers,
2018/2/13,Pedestals prevent friendships.,自卑阻碍友谊。,Your Music and People,https://sive.rs/pedestal,
2018/2/12,"Use the internet, not just companies.",要有自己的网站，别依赖大公司。,Articles,https://sive.rs/netskill,
2018/2/11,Move to the big city.,搬到大城市。,Your Music and People,https://sive.rs/city,
2018/2/9,Why you need a database,为什么你需要人际关系数据库,Your Music and People,https://sive.rs/dbt,
2018/2/5,Shed your money taboos.,摆脱金钱禁忌。,Your Music and People,https://sive.rs/mn1,
2018/1/23,Pricing philosophy,不仅仅是为了钱,Your Music and People,https://sive.rs/pp,
2018/1/22,Art doesn’t end at the edge of the canvas.,艺术不止于画布边缘。,Your Music and People,https://sive.rs/ext,
2018/1/16,It’s hard to get off stage.,很难下台。,Your Music and People,https://sive.rs/stage,
2018/1/15,“Marketing” just means being considerate.,营销就是考虑周到。,Your Music and People,https://sive.rs/cons,
2018/1/14,Repeatedly follow-up to show you care.,反复跟进以示关心。,Your Music and People,https://sive.rs/3in,https://readit.site/a/QeMcY
2017/12/11,Unlikely places and untangled goals,我们用假想的目标当借口,Hell Yeah or No,https://sive.rs/unun,
2017/7/3,What are the odds of that?,这种概率有多大？,Hell Yeah or No,https://sive.rs/odds,
2017/6/26,Parenting : Who is it really for?,育儿：到底为了谁？,Hell Yeah or No,https://sive.rs/pa,https://readit.site/a/C8kFI
2017/6/21,"To hone your writing, hire a translator.",请一位翻译，帮你磨炼写作技巧。,Articles,https://sive.rs/tra,
2017/6/16,Ego is the Enemy,自我是敌人,Articles,https://sive.rs/ego,
2017/6/16,"Actions, not words, reveal our real values",行胜于言,Hell Yeah or No,https://sive.rs/arv,
2017/3/13,"Think like a bronze medalist, not silver",比上不足，比下有余,Hell Yeah or No,https://sive.rs/bronze,
2017/3/10,"Art is useless, and so am I",不必「有用」,Hell Yeah or No,https://sive.rs/useless,
2016/12/30,Quitting something you love,放弃自己喜欢的事情,Hell Yeah or No,https://sive.rs/quit,
2016/12/27,Solitary socialite,孤独的社交达人,Hell Yeah or No,https://sive.rs/soso,
2016/12/22,Frequently Asked Questions,FAQ,Articles,https://sive.rs/faq,
2016/12/19,How to do what you love and make good money,如何做自己喜欢的事并赚钱,Hell Yeah or No,https://sive.rs/balance,
2016/12/5,Tilting my mirror (motivation is delicate),调整后视镜（微妙的动机）,Hell Yeah or No,https://sive.rs/tilt,
2016/9/5,Why are you doing?,为什么要这么做？,Hell Yeah or No,https://sive.rs/why,
2016/8/26,I’m a very slow thinker,我是慢思考型人,Hell Yeah or No,https://sive.rs/slow,https://readit.site/a/wwOrs
2016/8/4,"Keep earning your title, or it expires",头衔会过期,Hell Yeah or No,https://sive.rs/expire,
2016/8/2,When you’re extremely unmotivated,当你极度缺乏动力时,Hell Yeah or No,https://sive.rs/unmo,
2016/7/27,Disconnect,断网,Hell Yeah or No,https://sive.rs/dc,
2016/7/25,Don’t add your two cents,不发表意见,Anything You Want,https://sive.rs/2c,
2016/4/27,Possible futures,可能的未来,Hell Yeah or No,https://sive.rs/futures,
2016/4/21,Singing the counter-melody,唱反调,Hell Yeah or No,https://sive.rs/counter,
2016/4/18,How to stop being rich and happy,如何停止富有和快乐,Articles,https://sive.rs/d1x,
2016/4/18,How to be useful to others,如何对他人有用,Articles,https://sive.rs/d1u,
2016/4/18,How to thrive in an unknowable future,如何在不确定性中成长,Articles,https://sive.rs/d1t,
2016/4/18,What to do when you get successful,成功后该怎么做,Articles,https://sive.rs/d1s,
2016/4/18,How to get rich,如何致富,Articles,https://sive.rs/d1r,https://readit.site/a/kYUkH
2016/4/18,How to like people,如何喜欢别人,Articles,https://sive.rs/d1p,
2016/4/18,Do this. Directives — part 1,就这么做。第一部分,Articles,https://sive.rs/d1,
2016/4/13,Don’t start a business until people are asking you to,在人们要求你创业之前，不要创业,Hell Yeah or No,https://sive.rs/asking,
2016/3/27,Interviews at sive.rs/i,我的采访合集,Articles,https://sive.rs/interviews,
2016/3/17,Why I don’t promote,为什么我不推广,Articles,https://sive.rs/nopr,
2016/3/3,"Happy, Smart, and Useful",快乐，聪明，有用,Hell Yeah or No,https://sive.rs/hsu,https://readit.site/a/vQRub
2016/2/28,Assume men and women are the same,男人女人都一样,Hell Yeah or No,https://sive.rs/mw,
2016/2/25,Beware of advice,小心建议,Hell Yeah or No,https://sive.rs/advice,
2016/2/23,Overcompensate to compensate,用过度补偿,Hell Yeah or No,https://sive.rs/compensate,
2016/2/18,How to take a compliment,如何接受赞美,Articles,https://sive.rs/thx,
2016/2/16,Why I don’t want stuff,为什么别给我寄东西,Articles,https://sive.rs/gifts,
2016/2/14,Should you learn programming? Yes.,你应该学习编程吗？是的。,Tech blog,https://sive.rs/prog,
2016/1/27,Switch strategies,转换策略,Hell Yeah or No,https://sive.rs/switch,https://readit.site/a/ldgGT
2015/11/20,nownownow.com,nownownow.com,Articles,https://sive.rs/now3,
2015/10/21,The /now page movement,NOW 运动,Articles,https://sive.rs/nowff,https://readit.site/a/ndpRf
2015/10/2,Relax for the same result,轻松点，结果差不多,Hell Yeah or No,https://sive.rs/relax,
2015/9/23,Saying no to everything else,对其他一切说不,Hell Yeah or No,https://sive.rs/no2,
2015/8/29,“Just tell me what to do”: compressing knowledge into directives,「告诉我该怎么做」：将知识压缩成指令,Articles,https://sive.rs/2do,
2015/5/4,Simplify: move code into database functions,简化：将代码移入数据库函数,Tech blog,https://sive.rs/pg,
2015/2/1,Getting out of a bad state of mind,如何摆脱糟糕的状态,Hell Yeah or No,https://sive.rs/bad,
2014/10/6,How to change or build your career,如何改变或建立你的事业,Articles,https://sive.rs/career,
2014/9/21,Fixed mindset vs Growth mindset,固定思维 vs 成长思维,Articles,https://sive.rs/mindset,
2014/9/9,I love being wrong,我喜欢犯错,Hell Yeah or No,https://sive.rs/lw,
2014/7/4,You can afford to be generous,明智的经营之道,Anything You Want,https://sive.rs/afford,
2014/7/3,Lose every fight,顾客是对的,Anything You Want,https://sive.rs/cs3,
2014/7/2,Every interaction is your moment to shine,把每位来电的顾客当成明星,Anything You Want,https://sive.rs/cs2,
2014/7/1,Customer service is everything,客户服务就是一切,Anything You Want,https://sive.rs/cs1,
2014/6/29,The philosophy of great customer service,人工客服的优势,Articles,https://sive.rs/cs,
2014/5/18,Loving what I used to hate,爱我曾经讨厌的东西,Hell Yeah or No,https://sive.rs/hate,
2014/5/5,The Meaning of Life,生命的意义,Articles,https://sive.rs/ml,
2014/3/30,Change careers like Tarzan,像泰山一样转行,Articles,https://sive.rs/tarzan,
2014/3/19,What if you didn’t need money or attention?,如果你不需要钱或关注呢？,Hell Yeah or No,https://sive.rs/full,
2014/2/6,How will this game end?,游戏会如何收场？,Hell Yeah or No,https://sive.rs/game,
2014/2/2,Imitate. We are imperfect mirrors.,模仿。但你仍然可以提供独特价值。,Hell Yeah or No,https://sive.rs/mirror,
2014/1/21,Understanding Vietnam,理解越南,Articles,https://sive.rs/vn14,
2014/1/21,Understanding Singapore,理解新加坡,Articles,https://sive.rs/sg14,
2014/1/21,Understanding Indonesia,理解印度尼西亚,Articles,https://sive.rs/id14,
2014/1/19,Understanding Japan,理解日本,Articles,https://sive.rs/jp14,
2014/1/16,Same word. Different places? Different meanings.,同一个词，也有不同的意思。,Articles,https://sive.rs/quality,
2014/1/12,Wood Egg 2014 books are on sale now,WoodEgg 2014 年版书籍销售中,Articles,https://sive.rs/we14,
2013/12/24,Jac Holzman,雅克·霍尔兹曼,Articles,https://sive.rs/jac,https://readit.site/a/a6UfK
2013/12/20,Why am I here?,我为什么在这里？,Articles,https://sive.rs/here,https://readit.site/a/LsC12
2013/12/12,Why my code and ideas are public,为什么要公开我的代码和想法,Articles,https://sive.rs/ws,
2013/12/9,"OK Milt, I’ll start writing again",米尔特，我又开始写作了。,Hell Yeah or No,https://sive.rs/milt,
2013/6/15,Fragile Plan vs Robust Plan,脆弱计划 vs 健壮计划,Articles,https://sive.rs/robust,
2013/6/8,Wood Egg (my new company),Wood Egg （我的新公司）,Articles,https://sive.rs/eg,
2013/6/3,Some will always say you’re wrong,总有人会说你错了,Hell Yeah or No,https://sive.rs/wrong,
2013/5/20,No rules in this game,这个游戏没有规则,Articles,https://sive.rs/360,
2013/4/14,Seeking inspiration?,寻找灵感？,Hell Yeah or No,https://sive.rs/io,
2013/4/6,The Great Movies,伟大的电影,Articles,https://sive.rs/ebert2,
2013/3/21,Human Intervention as a Competitive Advantage,人工服务就是竞争优势,Articles,https://sive.rs/hi,
2013/2/11,It’s all who you know?,取决于你认识谁？,Articles,https://sive.rs/xn,
2013/1/27,"Focus, entertain, or both?",专注、娱乐，还是两者兼顾？,Articles,https://sive.rs/boring,
2013/1/6,Memorizing a programming language using spaced repetition software,使用间隔重复软件（Anki）学习编程语言,Tech blog,https://sive.rs/srs,
2012/12/9,Everything is my fault,一切都是我的错,Hell Yeah or No,https://sive.rs/my-fault,
2012/12/2,You don’t have to be local,你不必是本地人,Hell Yeah or No,https://sive.rs/local,
2012/8/13,"Push, push, push. Expanding your comfort zone.",推，推，推。扩大你的舒适区。,Articles,https://sive.rs/comfort,https://readit.site/a/lA7e4
2012/5/16,Smart people don’t think others are stupid,聪明人不会觉得别人蠢,Hell Yeah or No,https://sive.rs/ss,
2012/4/24,Advice on moving to Los Angeles,搬到洛杉矶的建议,Articles,https://sive.rs/la,
2011/12/20,Friends from memory,凭记忆写下你所有朋友,Articles,https://sive.rs/friends,
2011/11/20,The co-op business model: share whatever you’ve got,从分享你所拥有的一切开始,Anything You Want,https://sive.rs/sharing,https://readit.site/a/VJOTR
2011/11/15,232 sand dollars,232 个沙钱,Hell Yeah or No,https://sive.rs/232,
2011/10/24,Procrastination hack: change “and” to “or”,应对拖延症：把「和」改成「或」,Hell Yeah or No,https://sive.rs/andor,
2011/7/24,You make your perfect world,创造你的完美世界,Anything You Want,https://sive.rs/ayw8,
2011/7/23,"Delegate, but don’t abdicate",让权，但不要过度,Anything You Want,https://sive.rs/abdicate,
2011/7/22,Make it anything you want,想清楚你要什么,Anything You Want,https://sive.rs/ayw7,
2011/7/21,"It’s about being, not having",拥有某样东西只是手段，而不是目的,Anything You Want,https://sive.rs/being,
2011/7/20,Prepare to double,预留双倍,Anything You Want,https://sive.rs/double,
2011/7/19,It’s OK to be casual,随意一点没关系,Anything You Want,https://sive.rs/casual,
2011/7/18,Little things make all the difference,魔鬼在细节里,Anything You Want,https://sive.rs/cdbf,
2011/7/17,The most successful email I ever wrote,我写过最成功的电子邮件,Anything You Want,https://sive.rs/cdbe,
2011/7/16,Like you don’t need the money,就像你不需要钱一样,Anything You Want,https://sive.rs/dontneed,
2011/7/15,Care about your customers more than about yourself,关心客户胜过关心自己,Anything You Want,https://sive.rs/caremore,
2011/7/14,You don’t need a plan or a vision,你不需要计划或愿景,Anything You Want,https://sive.rs/noplan,
2011/7/13,Why no advertising?,为什么不做广告？,Anything You Want,https://sive.rs/noads,
2011/7/12,Proudly exclude people,自豪地排除 99% 的东西,Anything You Want,https://sive.rs/exclude2,
2011/7/11,Formalities play on fear. Bravely refuse.,别被吓到，勇敢拒绝。,Anything You Want,https://sive.rs/formalities,
2011/7/10,Start now. No funding needed.,现在就开始。不需要资金。,Anything You Want,https://sive.rs/startnow,
2011/7/9,The advantage of no funding,没钱的优势,Anything You Want,https://sive.rs/nofund,
2011/7/8,"Just like that, my plan completely changed",就这样，我的计划全变了,Anything You Want,https://sive.rs/changeplan,
2011/7/7,"If it’s not a hit, switch",如果不受欢迎，就换,Anything You Want,https://sive.rs/hitswitch,
2011/7/6,This ain’t no revolution,这不是革命,Anything You Want,https://sive.rs/ayw6,
