日期,标题,中文标题,标签,原文链接,双语链接
2011/7/5,A business model with only two numbers,只有两个数字的商业模式,Anything You Want,https://sive.rs/ayw5,https://readit.site/a/qvRDF
2011/7/4,Make a dream come true,梦想成真,Anything You Want,https://sive.rs/ayw4,
2011/7/3,Just selling my CD,只是卖我的 CD,Anything You Want,https://sive.rs/ayw3,
2011/7/2,What’s your compass?,你的指南针是什么？,Anything You Want,https://sive.rs/ayw2,https://readit.site/a/jNb2t
2011/7/1,Ten years of experience in one hour,一小时十年经验,Anything You Want,https://sive.rs/ayw1,
2011/6/29,Anything You Want (my first book),Anything You Want （我的第一本书）,Articles,https://sive.rs/ayw,
2011/6/23,Projecting meaning,投射意义,Hell Yeah or No,https://sive.rs/meaning,
2011/6/19,Fish don’t know they’re in water,鱼不知道自己在水中,Hell Yeah or No,https://sive.rs/fish,
2011/6/8,Don’t be a donkey,不要做布里丹之驴,Hell Yeah or No,https://sive.rs/donkey,
2011/6/4,I moved to Singapore,我搬到了新加坡,Articles,https://sive.rs/singapore,
2011/6/4,Any questions?,请向我提问。,Articles,https://sive.rs/aq,
2011/3/23,There’s no place like home,我在哪里，哪里就是家。,Articles,https://sive.rs/homeless,
2011/1/23,Delegate or die: the self-employed trap,要么授权，要么累死,Anything You Want,https://sive.rs/delegate,
2010/11/21,Obvious to you. Amazing to others.,你觉得平常的东西，可能令他人惊叹。,Hell Yeah or No,https://sive.rs/obvious,
2010/11/18,Why wreck a blank canvas?,挂五幅空白画布,Articles,https://sive.rs/blank,
2010/11/11,The day Steve Jobs dissed me in a keynote,史蒂夫·乔布斯在演讲中羞辱了我,Anything You Want,https://sive.rs/itunes,
2010/8/7,KarmaList wishlist?,愿望清单。,Articles,https://sive.rs/kl,
2010/7/21,"Valuable to others, or only you?",对他人有价值，还是只对你自己有价值？,Your Music and People,https://sive.rs/starv,
2010/7/7,Quit quirks when working with others,与他人合作时戒除怪癖,Articles,https://sive.rs/quirks,
2010/7/3,My loss,我失去了什么,Articles,https://sive.rs/loss,
2010/7/1,I assume I’m below average,假设我低于平均水平,Hell Yeah or No,https://sive.rs/below-average,
2010/6/29,How to get hired,如何被雇用,Articles,https://sive.rs/gethired,https://readit.site/a/zbIH5
2010/6/19,How to hire a programmer to make your ideas happen,如何雇用程序员来实现你的想法,Articles,https://sive.rs/how2hire,
2010/6/15,After fifteen years of practice,十五年的练习,Hell Yeah or No,https://sive.rs/15-years,
2010/5/25,How I became Ryuichi Sakamoto’s guitarist,我如何成为坂本龙一的吉他手,Articles,https://sive.rs/sakamoto,https://readit.site/a/PfAGy
2010/5/24,Na?ve quitting,天真的辞职,Anything You Want,https://sive.rs/nq,
2010/5/7,Thursday = Thor’s day,星期四=雷神日,Articles,https://sive.rs/thor,
2010/3/31,"A real person, a lot like you",电脑前是真实的人,Anything You Want,https://sive.rs/real,
2010/3/29,Flip it in your favor.,化危为机,Your Music and People,https://sive.rs/flipstick,
2010/2/14,First Follower idea is all yours,「第一个追随者」的想法是你的了,Articles,https://sive.rs/ff2,
2010/2/11,First Follower: Leadership Lessons from a Dancing Guy,第一个跟随者：从一个跳舞的人身上学到的领导力课程,Articles,https://sive.rs/ff,
2010/1/30,Don’t punish everyone for one person’s mistake,不要因为一个人的错误惩罚所有人,Anything You Want,https://sive.rs/punish,
2010/1/27,There are always more than two options,总有两个以上的选择,Hell Yeah or No,https://sive.rs/options,
2010/1/26,Big catalog = infinite specialty shops,1000 家专卖店,Articles,https://sive.rs/prism,
2009/12/18,Papa Bill: I don’t need to worry about you.,爷爷：我不需要担心你。,Articles,https://sive.rs/papabill,
2009/12/9,Put buskers online,把街头艺人放上网,Articles,https://sive.rs/busk,
2009/12/8,"""Online"" marketing = ""Color"" TV",过时的营销,Articles,https://sive.rs/tv,
2009/12/4,Why I gave my company to charity,我为什么把公司捐给慈善机构,Anything You Want,https://sive.rs/trust,
2009/12/1,There’s no speed limit,不受常规限制,Hell Yeah or No,https://sive.rs/kimo,
2009/11/27,Shine a spotlight on one idea at a time.,一次说一件事。,Articles,https://sive.rs/1idea,
2009/11/25,The challenge: Don’t speak in future tense.,挑战：别说你「想」怎么样。,Articles,https://sive.rs/futuretense,
2009/11/24,"Trust, but verify",信任，但要核实,Anything You Want,https://sive.rs/trustbut,
2009/11/23,Let pedestrians define the walkways,让行人定义人行道,Hell Yeah or No,https://sive.rs/walkways,
2009/11/22,Fela Kuti,费拉·库蒂,Articles,https://sive.rs/fela-kuti,
2009/11/21,Confidence required,做出成绩,Articles,https://sive.rs/confidence,
2009/10/16,If you think you haven’t found your passion…,如果你还没找到激情所在……,Hell Yeah or No,https://sive.rs/passion,
2009/10/15,Doesn’t feel like work (or I’ve forgotten),感觉不像在工作,Articles,https://sive.rs/notwork,
2009/10/14,"Learning the lesson, not the example.",举一反三,Hell Yeah or No,https://sive.rs/metaphor,
2009/10/13,How I knew I was done with my company,我什么时候决定卖掉公司,Anything You Want,https://sive.rs/done,https://readit.site/a/uZ0zu
2009/10/12,You should feel pain when unclear,说不清楚就罚款 5000 美元,Anything You Want,https://sive.rs/unclear,
2009/10/9,How do you grade yourself?,你怎么给自己打分？,Anything You Want,https://sive.rs/grade,
2009/10/7,Not happy with existing venues? Make a new one.,别抱怨，去创造。,Your Music and People,https://sive.rs/makenew,
2009/10/6,"What’s the difference between like, love, and in-love?",喜欢、爱和恋爱之间有什么区别？,Articles,https://sive.rs/inlove,
2009/9/27,If only one percent of those people…,如果只有百分之一……,Anything You Want,https://sive.rs/1pct,
2009/9/24,Does your company really want to hang out with me?,你是对我感兴趣，还是只想谈生意？,Articles,https://sive.rs/sms,https://readit.site/a/4iZQs
2009/9/23,Biking,骑行,Articles,https://sive.rs/biking,
2009/9/22,Venue for audience to mix their own audio,观众自行混音,Articles,https://sive.rs/venuemix,
2009/9/21,Emphasize meaning over price.,强调意义而不是价格。,Your Music and People,https://sive.rs/livecd,https://readit.site/a/xwNur
2009/9/17,Is there such a thing as too much freedom?,是否存在过于自由的情况？,Articles,https://sive.rs/freedom,
2009/9/16,Write? Write. Sleep? Sleep. Read? Read. Don’t fight it.,不要对抗，做你想做的。,Articles,https://sive.rs/dont-fight-it,
2009/9/13,Safety,安全感,Articles,https://sive.rs/safety,
2009/9/12,Imagining lots of tedious steps? Or one fun step?,你期待开始吗？,Hell Yeah or No,https://sive.rs/steps,
2009/9/11,Does it help to be desperate? Part 2,绝望有用吗？第二部分,Articles,https://sive.rs/desperate2,
2009/9/10,Does it help to be desperate?,绝望有用吗？,Articles,https://sive.rs/desperate,
2009/9/6,Climbing ladders,继续爬梯子,Articles,https://sive.rs/ladders,
2009/9/4,My heroes,我的榜样,Articles,https://sive.rs/heroes,https://readit.site/a/xLShj
2009/9/1,Kurt Vonnegut explains drama,库尔特·冯内古特解释戏剧,Articles,https://sive.rs/drama,
2009/8/31,How to send personalized emails,如何发送个性化电子邮件,Tech blog,https://sive.rs/emailer,
2009/8/30,Sprezzatura,暗自努力,Articles,https://sive.rs/sprezzatura,
2009/8/29,What do you hate not doing?,你讨厌不做什么？,Hell Yeah or No,https://sive.rs/hatenot,
2009/8/28,Musician’s own website as definitive source of all info,音乐家自己的网站是所有信息的权威来源,Articles,https://sive.rs/mhost,
2009/8/26,No yes. Either HELL YEAH! or no.,要么说太棒了，要么说不,Anything You Want,https://sive.rs/hellyeah,
2009/7/26,A computer that would require kids to be creative to use it,需要孩子们发挥创造力才能使用的电脑,Tech blog,https://sive.rs/kidspc,
2009/7/16,I miss the mob,我怀念黑帮,Anything You Want,https://sive.rs/the-mob,
2009/7/14,"Listen to my music, and let me know what I should do",听听我的音乐，告诉我该怎么做,Articles,https://sive.rs/letmeknow2,
2009/7/11,Barking,更聪明，而不是更大声,Your Music and People,https://sive.rs/barking,
2009/7/10,The power of no reward,不求回报的力量,Articles,https://sive.rs/no-reward,
2009/7/7,"The mirror: It’s about you, not them.",损失的是自己,Hell Yeah or No,https://sive.rs/you-not-them,
2009/7/1,Semi-experts: profit by saving us time,半专家：通过帮我们节省时间获利,Articles,https://sive.rs/semi-expert,
2009/6/29,Nothing to waste: The advantage of being under-funded,不浪费：资金不足的好处,Articles,https://sive.rs/novc,
2009/6/28,Version 0.1 = Start lo-fi,从 0.1 版本开始,Articles,https://sive.rs/lofi,
2009/6/26,Early drafts of great work are encouraging,伟大作品的初稿,Articles,https://sive.rs/early,
2009/6/24,Doing the opposite of everyone is valuable.,做别人没做的事。,Your Music and People,https://sive.rs/contrarian,
2009/6/22,Japanese addresses: No street names. Block numbers.,日本地图没有街道名称。,Articles,https://sive.rs/jadr,
2009/6/21,Customers given too many choices are 10x less likely to buy,顾客选择过多，购买可能性降低 10 倍,Articles,https://sive.rs/jam,
2009/6/16,Announcing your plans makes you less motivated to accomplish them,宣布计划会让你失去动力,Articles,https://sive.rs/zipit,
2009/6/15,That’s version infinity. First launch version 0.1.,先集中精力推出 0.1 版。,Articles,https://sive.rs/infinity,
2009/6/11,Show success before asking for help.,在寻求帮助之前，先展示成绩。,Your Music and People,https://sive.rs/success-first,
2009/6/10,Why you need your own company,为什么你需要自己的公司,Anything You Want,https://sive.rs/laboratory,
2009/6/9,MusicThoughts update : inspiring quotes for music-makers,音乐人格言更新：音乐人的励志名言,Articles,https://sive.rs/musicthoughts2,
2009/6/6,How to make a movement. Lessons learned from dancing guy.,如何发起一场运动。从跳舞小伙子身上学到的经验。,Articles,https://sive.rs/dance-lessons,
2009/6/5,Are you present-focused or future-focused?,你关注现在还是未来？,Hell Yeah or No,https://sive.rs/time,
2009/6/5,You have enough.,知足常乐。,Articles,https://sive.rs/enough,
2009/6/3,Some people like to pay. Let them.,有人喜欢付钱，让他们付吧。,Your Music and People,https://sive.rs/ppay,
2009/6/2,"Are fans telling friends? If not, don’t promote.",粉丝会告诉朋友吗？如果没有，就不要宣传。,Your Music and People,https://sive.rs/purplecow,
2009/6/1,The security of no security,没有安全感的安全感,Your Music and People,https://sive.rs/no9to5,
2009/5/29,What super-power do you want?,你想要什么超能力？,Articles,https://sive.rs/super-power,
2009/5/28,You need to be profitable to last.,你需要盈利才能长久。,Your Music and People,https://sive.rs/sustainable,
2009/5/27,My $3.3M mistake,价值 330 万美元的错误,Anything You Want,https://sive.rs/mistake,
2009/5/26,Have you looked under the chickens?,观鸡试试？,Articles,https://sive.rs/chickens,
2009/5/25,Not what it used to be!,时代变了！,Articles,https://sive.rs/decaying,
2009/5/22,Character predicts your future,性格决定命运,Hell Yeah or No,https://sive.rs/character,
2009/5/21,Sammy Cahn said thank you,萨米·卡恩对我说谢谢,Articles,https://sive.rs/sammy-cahn,https://readit.site/a/1ssFB
2009/5/21,"Goals shape the present, not the future.",能让你马上行动的才是好目标,Hell Yeah or No,https://sive.rs/goals,
2009/3/7,Aimee Mullins,艾米·穆林斯,Articles,https://sive.rs/aimee-mullins,
2009/3/7,Accelerate change,加速改变,Articles,https://sive.rs/accch,
2009/2/28,My favorite fable,我最喜欢的寓言故事,Hell Yeah or No,https://sive.rs/horses,
2009/2/27,What do you do for feedback on a new song you’re writing?,你在创作新歌时如何获得反馈？,Articles,https://sive.rs/songfeedback,
2009/2/26,Ideas to Reality,从想法到现实,Articles,https://sive.rs/ideas2,
2009/2/19,"A free, open song contest idea",一个自由、开放的歌曲比赛想法,Articles,https://sive.rs/songtesti,https://readit.site/a/Ejn1F
2009/1/24,MusicThoughts.com,音乐人格言,Articles,https://sive.rs/see-musicthoughts,https://readit.site/a/JDG9g
2009/1/10,Advice for a 19-year-old guitarist who wants to be a session musician.,给想精进的 19 岁吉他手建议。,Articles,https://sive.rs/session-musician,https://readit.site/a/t6Vpe
2009/1/8,Complainers,抱怨意味着什么,Articles,https://sive.rs/complainers,
2008/12/31,Don’t... if you think it’s going to make you happy,别……如果你觉得这能让你开心的话,Articles,https://sive.rs/make-you-happy,
2008/12/22,Getting past it,挺过困难,Articles,https://sive.rs/pastit,
2008/12/18,Assume nobody is going to help you.,假设没有人会帮你。,Your Music and People,https://sive.rs/up2you,
2008/12/13,Happiness is letting someone make you the villain,幸福就是让别人把你当成小人,Articles,https://sive.rs/villain,https://readit.site/a/RsxDb
2008/12/12,How to attend a conference,如何参加见面会,Your Music and People,https://sive.rs/conferences,https://readit.site/a/ilbat
2008/11/22,Make mystery : make people wonder.,制造神秘：让人们好奇。,Your Music and People,https://sive.rs/mystery,
2008/11/14,Real rebellion is going to school wearing a clown suit,真正的叛逆是穿着小丑服去上学,Articles,https://sive.rs/realrebel,
2008/10/23,This is just one of many options,这只是众多选项之一,Anything You Want,https://sive.rs/more-than-one,
2008/10/21,Are foreign accents a reflection of identity?,外国口音是身份的反映吗？,Articles,https://sive.rs/accents,
2008/10/17,"Nobody knows the future, so focus on what doesn’t change.",放弃预测，专注不变的事。,Your Music and People,https://sive.rs/no-oracle,
2008/10/16,The Grand Pursuit,追求伟大,Articles,https://sive.rs/grand-pursuit,
2008/10/15,Uncomparable: anchor a new mama,与众不同：找一个新锚点,Articles,https://sive.rs/uncomparable,
2008/9/13,Are you at the starting line or the finish line?,你在起跑线还是终点线？,Your Music and People,https://sive.rs/lines,
2008/9/11,Mastering entrepreneurship?,怎样才算精通创业？,Articles,https://sive.rs/mentre,
2008/9/10,Small actions change your self-identity,千里之行，始于足下,Hell Yeah or No,https://sive.rs/actid,
2008/9/9,Iceland,冰岛,Articles,https://sive.rs/iceland,
2008/9/5,6 things I wish I knew the day I started Berklee,我希望刚到伯克利就知道的 6 件事,Articles,https://sive.rs/berklee,https://readit.site/a/OBAkj
2008/8/13,Reversible business models,逆向商业模式,Articles,https://sive.rs/reversible,
2008/8/4,"Bye-Bye, Baby!",再见，CD Baby！,Articles,https://sive.rs/bye-bye-baby,
2008/7/13,"Ah, to own nothing!",啊，一身轻！,Articles,https://sive.rs/own-nothing,
2008/7/9,Songwriters who don’t perform,不会表演的词曲创作者,Articles,https://sive.rs/songwriters-only,https://readit.site/a/KRp1q
2008/6/26,Action-Reaction,作用与反作用力,Articles,https://sive.rs/action-reaction,
2008/6/9,A Musician’s Advice About the College Market,一位音乐家对大学市场的建议,Articles,https://sive.rs/college,
2008/5/29,Selling music by solving a specific need,针对细分市场销售,Your Music and People,https://sive.rs/candles,
2008/5/17,How was India?,印度怎么样？,Articles,https://sive.rs/how-was-india,
2008/5/17,Don’t promote until people can take action.,在人们能采取行动之前，不要推广。,Your Music and People,https://sive.rs/buyable,
2008/5/8,"two three four ONE, two three four ONE",二三四一，二三四一,Hell Yeah or No,https://sive.rs/fela,
2008/5/7,Aim for the edges.,瞄准边缘。,Your Music and People,https://sive.rs/no-bullseye,
2008/4/29,Restrictions will set you free.,限制会让你自由。,Your Music and People,https://sive.rs/restr,
2008/4/25,Eliminating the time between thinking something and doing it,消除拖延,Articles,https://sive.rs/thinking-doing,
2008/4/24,"If I had a record label, would you be signed to it?",如果我有一家唱片公司，你会签约吗？,Articles,https://sive.rs/label-list,
2008/4/16,Circle of influence — Circle of concern,影响圈和关注圈,Articles,https://sive.rs/circles,
2008/4/15,Piracy is not the problem,盗版不是问题,Articles,https://sive.rs/pigs-sharks,
2008/4/7,"What should I do when someone says, “Let me know what you think!” of their music?",当有人说 「想知道你对我音乐的看法」时，我该怎么办？,Articles,https://sive.rs/letmeknow,
2008/4/6,Never have a limit on your income.,设计你的睡后收入,Your Music and People,https://sive.rs/nolimit,
2008/3/26,"Whatever scares you, go do it",怕什么，就做什么,Hell Yeah or No,https://sive.rs/scares,https://readit.site/a/5leny
2008/3/24,Happy 10th Birthday to CD Baby — and an announcement,CD Baby 十岁生日快乐，并宣布一项消息,Articles,https://sive.rs/bilbo,
2008/3/11,The strength of many little customers,长尾的力量,Anything You Want,https://sive.rs/blc,
2007/9/25,The public you is not you,长得像我的纸板人,Hell Yeah or No,https://sive.rs/publicu,
2007/9/23,7 reasons I switched back to PHP after 2 years on Rails,使用 Rails 2 年后，我转回 PHP 的 7 个原因,Tech blog,https://sive.rs/rails2php,
2005/8/16,Ideas are just a multiplier of execution,想法是执行的乘数,Anything You Want,https://sive.rs/multiply,
2000/9/10,Compass in your gut,内心的指南针,Your Music and People,https://sive.rs/compass,
2000/9/7,Ignore advice that drains you.,忽略那些不令你兴奋的建议。,Your Music and People,https://sive.rs/drain,
2000/9/3,Stay in over your head,保持窒息,Articles,https://sive.rs/oyh,
2000/8/30,You don’t get extreme results without extreme actions.,非凡人不做平凡事。,Your Music and People,https://sive.rs/extremex,
2000/8/27,"Be a competent novice, not an expert.",当个合格的新手，而不是专家。,Your Music and People,https://sive.rs/novicex,
2000/8/23,Have someone work the inside of the industry.,组建专业团队。,Your Music and People,https://sive.rs/insidr,
2000/8/20,"Assume the basic sale, and go for quantity",用锚定效应卖杂志,Articles,https://sive.rs/quantity,
2000/8/13,"Get rejected, get filtered.",拒绝疗法。,Your Music and People,https://sive.rs/gofilt,https://readit.site/a/6fWXi
2000/8/10,Photos of your audience on your website,把观众照片上传到你网站,Articles,https://sive.rs/phoaud,
2000/8/4,Put your fans to work.,让粉丝为你工作。,Your Music and People,https://sive.rs/fanwork,https://readit.site/a/nolhv
2000/8/1,"Call the destination, and ask for directions.",打电话到目的地问路。,Your Music and People,https://sive.rs/destdir,https://readit.site/a/nV1rr
2000/7/13,Your interactive website,在网上和粉丝互动,Articles,https://sive.rs/intrweb,
2000/7/10,"Promo bits, ready to copy",复制宣传介绍，随时粘贴,Articles,https://sive.rs/promobox,
2000/7/4,Or you can not talk at all.,不必没话找话。,Your Music and People,https://sive.rs/notalk,
2000/7/1,Describe your music like a non-musician.,说用户听得懂的。,Your Music and People,https://sive.rs/nomu,
2000/6/25,"Without a good reason, they won’t bother.",给对方一个理由，让他们好奇。,Your Music and People,https://sive.rs/whycare,
2000/6/23,Hillbilly Flamenco,乡巴佬弗拉门戈,Your Music and People,https://sive.rs/hillbf,
2000/6/20,Don’t know how to describe your music?,如何描述你的音乐？,Your Music and People,https://sive.rs/dym,
2000/6/17,Make people curious in one sentence.,用一句话让人们好奇。,Your Music and People,https://sive.rs/shrtd,
2000/6/13,When your music can’t speak for itself,在你家喻户晓之前,Your Music and People,https://sive.rs/wordsm,
2000/6/4,Shining example: Rayko,闪亮的榜样：雷科,Articles,https://sive.rs/rayko,https://readit.site/a/E0kkX
2000/6/1,Life is like high school.,生活就像高中。,Your Music and People,https://sive.rs/hs,
2000/5/30,Small gifts go a long way.,小礼物大作用。,Your Music and People,https://sive.rs/smgf,
2000/5/27,Don’t be afraid to ask for favors.,不要害怕找人帮忙。,Your Music and People,https://sive.rs/favors,
2000/5/21,Always think how you can help someone.,时刻想着如何帮助别人。,Your Music and People,https://sive.rs/hych,
2000/5/18,Meet three new people every week.,每周认识三个新朋友。,Your Music and People,https://sive.rs/ppweek,
2000/5/10,Stay in touch with hundreds of people.,与数百人保持联系。,Your Music and People,https://sive.rs/hundreds,https://readit.site/a/mIBnv
2000/5/7,Persistence is polite.,坚持就是礼貌。,Your Music and People,https://sive.rs/persistence,
2000/5/4,Don’t be a mosquito.,别做蚊子。,Your Music and People,https://sive.rs/mosquito,
2000/5/1,Every breakthrough comes from someone you know.,每次突破都来自你认识的某个人。,Your Music and People,https://sive.rs/syk,
2000/4/20,Captain T,Captain T,Your Music and People,https://sive.rs/capt,
2000/4/17,Business is creative.,商业也需要创意。,Your Music and People,https://sive.rs/bizriff,
2000/4/14,This is only a test. See what happens.,只是个测试。看看会发生什么。,Your Music and People,https://sive.rs/tvtest,
2000/4/10,Direct it yourself.,不必亲力亲为。,Your Music and People,https://sive.rs/diy,
2000/4/7,"Was 10%, now 90%",以前是 10%，现在是 90%,Your Music and People,https://sive.rs/1090,
2000/4/4,A good plan wins no matter what happens.,两手准备，无论发生什么你的计划都会成功。,Your Music and People,https://sive.rs/gbp,
2000/4/1,Test marketing,测试营销,Your Music and People,https://sive.rs/testm,
2000/3/20,Well-rounded doesn’t cut.,全面发展不够锋利。,Your Music and People,https://sive.rs/rounded,
2000/3/5,A hundred actors on stage,舞台上有一百位演员,Your Music and People,https://sive.rs/actors,
2000/2/27,Don’t try to sound big.,别装。,Your Music and People,https://sive.rs/ncorp,
2000/2/22,Touch as many of their senses as you can.,尽可能多地触动感官。,Your Music and People,https://sive.rs/senses,
2000/2/17,People search harder for the obscure.,人们在努力寻找晦涩难懂的东西。,Your Music and People,https://sive.rs/prgrk,
2000/2/12,"If you target sharp enough, you will own your niche.",如果你定位明确，就会拥有细分市场。,Your Music and People,https://sive.rs/trshr,
2000/2/7,The most expensive vodka,最贵的伏特加,Your Music and People,https://sive.rs/vodka,
2000/2/2,Proudly exclude most people.,骄傲地将大多数人排除在外。,Your Music and People,https://sive.rs/exclude,
2000/1/30,A curious answer to the most common question,为常见问题准备有趣的答案,Your Music and People,https://sive.rs/wysl,https://readit.site/a/oKQpH
2000/1/25,Use the tricks that worked on you.,分析、运用吸引你的技巧。,Your Music and People,https://sive.rs/wwoy,
2000/1/10,Constantly ask what they really want.,不断询问他们真正想要什么。,Your Music and People,https://sive.rs/wdtrw,
2000/1/4,How to get through the gates?,如何通过大门？,Your Music and People,https://sive.rs/solicited,
2000/1/2,It’s just people inside the machine!,机器里有人！,Your Music and People,https://sive.rs/people1,
2000/1/1,Some quick context for these stories,简单介绍《Your Music and People》的创作背景,Your Music and People,https://sive.rs/m2,
2000/1/1,What’s inside this book,《Your Music and People》在讲什么,Your Music and People,https://sive.rs/m1,https://readit.site/a/iNNPh
